FluxView - FluxMed acquisition system
Signal file
Serial Number	:
SW version:	1.20h-OX-CO2	File version:	1.13
Sampling rate:	256 Hz
Time	Flow	Volume	Paw	Pes	Ptpulm	Pga	Ptdiaf	CO2	
820.00000000	-0.9	-28321	5.4	3.4	2.0	3.6	0.2	21.8	
820.00390630	-1.1	-28321	5.4	3.4	2.0	3.6	0.2	21.8	
820.00781250	-1.3	-28321	5.4	3.3	2.2	3.6	0.4	21.8	
820.01171880	-1.3	-28321	5.4	3.4	2.0	3.6	0.2	21.8	
820.01562500	-1.1	-28321	5.4	3.4	2.0	3.6	0.2	21.7	
820.01953130	-0.9	-28321	5.4	3.4	2.0	3.6	0.2	21.6	
820.02343750	-0.6	-28321	5.4	3.4	2.0	3.6	0.2	21.5	
820.02734380	-0.4	-28321	5.3	3.4	1.8	3.6	0.2	21.4	
820.03125000	-0.3	-28321	5.3	3.4	1.8	3.6	0.2	21.3	
820.03515630	-0.1	-28321	5.4	3.4	2.0	3.6	0.2	21.2	
820.03906250	-0.1	-28321	5.3	3.4	1.8	3.6	0.2	21.1	
820.04296880	-0.1	-28321	5.3	3.4	1.8	3.6	0.2	21.0	
820.04687500	-0.1	-28321	5.1	3.3	1.8	3.6	0.4	20.4	
820.05078130	-0.2	-28321	5.1	3.4	1.6	3.6	0.2	19.6	
820.05468750	-0.3	-28321	5.1	3.4	1.6	3.6	0.2	18.8	
820.05859380	-0.3	-28321	5.1	3.4	1.6	3.8	0.4	18.1	
820.06250000	-0.3	-28321	5.1	3.4	1.6	3.6	0.2	17.3	
820.06640630	-0.3	-28321	5.1	3.4	1.6	3.6	0.2	16.5	
820.07031250	-0.2	-28321	5.1	3.4	1.6	3.6	0.2	15.7	
820.07421880	-0.2	-28321	5.1	3.4	1.6	3.6	0.2	15.0	
820.07812500	-0.1	-28321	5.1	3.4	1.6	3.8	0.4	14.7	
820.08203130	-0.1	-28321	4.9	3.4	1.4	3.8	0.4	14.7	
820.08593750	-0.1	-28321	4.9	3.4	1.4	3.8	0.4	14.6	
820.08984380	0.0	-28321	5.1	3.6	1.4	3.8	0.2	14.5	
820.09375000	0.0	-28321	4.9	3.6	1.3	3.8	0.2	14.4	
820.09765630	0.2	-28321	4.9	3.4	1.4	3.9	0.5	14.3	
820.10156250	0.3	-28321	5.1	3.4	1.6	3.8	0.4	14.2	
820.10546880	0.4	-28321	4.9	3.6	1.3	3.8	0.2	14.1	
820.10937500	0.4	-28321	4.9	3.4	1.4	3.8	0.4	13.8	
820.11328130	0.4	-28321	4.9	3.4	1.4	3.8	0.4	13.5	
820.11718750	0.5	-28321	4.9	3.4	1.4	3.8	0.4	13.1	
820.12109380	0.8	-28321	5.1	3.4	1.6	3.8	0.4	12.8	
820.12500000	1.0	-28321	4.9	3.4	1.4	3.8	0.4	12.5	
